Wishlist_ID,User_ID,Date_Created,Time_Created
10142914,29231568,2023-02-18,18:31:35
10303519,61690283,2020-05-18,20:10:14
10347665,63294626,2020-02-03,10:40:09
10368539,86275594,2024-04-03,15:43:08
10445468,80253677,2021-12-09,20:49:02
10490405,16027290,2019-10-24,21:41:42
10802995,32134372,2023-10-19,03:14:14
10813120,34328786,2022-05-21,17:43:02
10854046,99213282,2023-07-24,10:24:48
10860121,82018668,2020-05-10,06:32:55
10947355,11476560,2021-07-29,05:11:43
11080952,40883983,2024-03-31,00:49:17
11083832,38873490,2022-01-01,03:50:00
11172192,43859824,2020-09-16,12:10:30
11456147,32117335,2022-04-25,14:17:36
11588610,23661858,2020-10-15,18:08:20
11598767,45389809,2023-12-17,10:13:41
11674448,19526472,2019-09-22,21:11:03
12020521,79240922,2022-03-23,00:31:52
12043762,45294690,2020-04-08,18:22:52
12167374,31621642,2022-10-05,09:55:32
12242315,89569837,2023-10-03,01:13:37
12264784,31504939,2023-03-04,12:47:26
12290906,83426495,2020-01-22,22:46:34
12348023,59067763,2020-07-26,07:11:55
12417165,75249841,2020-01-31,01:17:44
12521535,18565672,2020-11-01,22:26:09
12561952,18911851,2022-05-24,20:46:28
12609859,20666511,2023-02-13,08:16:16
12760173,50959459,2020-12-17,02:29:12
12865937,19949261,2023-02-26,22:23:49
12878522,38120632,2024-02-18,15:59:34
12890995,72069108,2020-12-24,11:04:17
12897246,31124105,2023-03-12,14:13:15
12972700,91347614,2023-08-17,04:59:16
12991788,28233773,2021-03-19,20:32:26
13206463,90126117,2022-08-04,19:47:50
13239402,66153657,2019-08-20,20:50:53
13246664,62567459,2020-07-01,02:12:29
13271612,48217311,2019-07-16,20:03:29
13312214,49534927,2022-11-30,11:13:52
13314408,61095031,2024-03-14,02:21:39
13326205,31956863,2019-11-28,11:36:30
13426946,64608964,2021-03-04,09:25:08
13435579,18086888,2022-03-12,18:28:16
13516734,38072766,2023-12-02,03:28:59
13539735,92010762,2022-02-22,10:13:10
13568257,79560694,2019-06-28,14:13:19
13711010,43582161,2020-02-15,00:49:04
13743470,63577133,2024-04-06,12:39:39
13788959,67092769,2023-05-25,23:28:33
13918568,56506039,2021-12-19,03:57:12
14020272,99147487,2022-09-05,16:32:51
14096703,53691519,2020-07-12,11:40:11
14103282,86598433,2020-12-15,00:15:53
14125423,95530884,2022-08-18,21:25:40
14708740,20454114,2023-07-02,14:23:58
14862467,73556733,2023-11-03,10:15:51
14895353,23456288,2022-08-18,11:48:54
14992421,55691624,2019-09-29,14:58:01
15025083,99754703,2023-07-22,23:41:50
15094761,49028856,2019-06-27,02:32:31
15410512,72461324,2024-05-21,18:56:12
15588673,62566508,2024-05-16,02:16:57
15610822,38099759,2021-03-15,16:06:57
15707947,31040065,2021-05-25,19:38:46
15784457,12885727,2021-01-02,09:49:57
15918871,65006167,2022-12-22,02:15:13
15919187,54368393,2022-07-20,18:51:36
15979773,30520360,2021-09-18,22:04:20
16064591,30189632,2021-08-07,22:20:17
16159457,76908614,2024-03-30,06:31:08
16214878,10255717,2022-03-06,07:14:51
16674112,41834902,2023-01-06,11:21:58
17055276,95792441,2023-11-18,12:29:53
17099293,96709258,2021-03-18,00:51:28
17256898,92271401,2021-12-08,05:15:42
17380628,82123690,2023-10-13,09:39:29
17549322,19691005,2021-11-18,14:47:44
17621527,24358164,2020-03-13,04:41:05
17953934,84337659,2023-01-11,08:29:44
17980149,23637724,2023-04-18,08:59:34
18055546,57683575,2020-12-15,10:43:09
18384020,93380594,2020-09-15,12:46:48
18576398,98578399,2020-09-25,15:50:46
18661417,45385224,2024-03-03,08:23:40
18680045,78998997,2019-08-30,19:43:51
18719024,92608271,2021-02-01,09:07:44
18778747,60516808,2023-03-14,19:36:20
18779824,31056457,2024-03-29,22:14:46
18829233,92479194,2023-05-20,16:50:23
18989840,65356568,2024-04-05,02:53:45
19071497,69691977,2019-12-09,13:11:05
19094182,35801611,2020-01-21,02:47:07
19122331,40123640,2019-05-29,18:44:33
19237614,35378703,2024-03-14,10:07:17
19289450,85188355,2022-02-28,09:41:51
19302080,55704354,2023-11-07,05:16:44
19311019,37758029,2023-05-24,17:26:02
19358335,22213619,2021-03-08,00:57:45
19642010,40754837,2023-05-26,23:20:26
19997557,40112912,2022-10-20,14:17:24
20247601,48454506,2024-05-11,13:57:39
20329112,65813939,2022-09-17,22:39:03
20354406,33888544,2023-04-07,14:42:20
20366974,83334413,2022-10-16,00:47:48
20481397,47245530,2023-07-16,15:57:47
20522965,64037606,2020-07-18,20:53:29
20642435,98616019,2023-04-06,10:52:49
20905248,12853751,2019-08-08,01:22:26
21110466,51183392,2022-07-21,14:49:57
21192964,35002572,2020-10-16,14:17:57
21217558,16778932,2020-02-03,20:27:35
21228370,45961481,2022-08-26,21:21:34
21235020,97891954,2023-03-28,00:27:46
21396153,93365504,2022-09-07,11:01:34
21410658,98977240,2020-11-27,04:00:39
21475922,10038378,2021-01-08,12:46:55
21489647,45099986,2019-08-15,00:18:53
21573139,43389477,2024-02-18,20:12:39
21699364,56150102,2021-04-29,02:07:04
21777126,40947214,2023-01-04,20:11:44
21794932,16823355,2019-08-23,10:19:07
21856957,11943086,2019-12-12,02:29:28
21881235,60411804,2022-09-16,01:15:58
21887399,11854632,2020-03-28,00:39:17
21935080,31113058,2020-06-17,06:05:26
21988635,57126515,2021-04-05,21:06:30
22364850,75164242,2022-11-24,21:21:24
22387302,94854109,2021-06-27,21:48:07
22496313,30499281,2020-11-14,10:49:17
22500958,65250978,2022-05-24,01:21:13
22526157,95682817,2022-12-19,08:05:31
22636665,25314016,2021-08-27,21:40:51
22642912,70855908,2023-12-30,21:35:26
22794214,28739630,2023-09-17,12:20:53
22855297,31384077,2023-01-05,18:49:40
22877475,56435161,2022-01-16,20:20:39
22938059,97457127,2019-08-05,00:32:23
23043139,64110036,2019-08-01,05:50:02
23047736,28609472,2022-01-15,09:29:04
23335511,34625648,2022-06-13,10:02:02
23340608,12296744,2023-04-26,00:48:02
23373985,43521079,2020-06-19,07:48:05
23426133,35659542,2019-11-04,04:01:04
23445303,39197892,2022-06-25,20:20:33
23462500,66551163,2021-06-13,13:52:06
23464171,23621582,2024-02-11,00:10:54
23481066,96737724,2022-02-23,03:39:29
23498936,68486491,2021-04-09,18:51:22
23500695,92022741,2024-01-24,01:32:11
23591691,99326285,2023-06-25,04:18:56
23666417,13675277,2024-02-04,07:59:53
23861155,79036278,2023-06-10,11:31:09
23909494,46492468,2022-09-09,00:27:55
24005955,80225652,2023-06-20,12:34:59
24181745,43546767,2022-05-28,18:23:43
24239090,44210136,2021-12-28,12:12:44
24327224,87557442,2021-05-15,10:17:19
